"id","external_link","external_link_text"
"16,571","http://documents.boston.gov/images_documents/reasonable_modifications_mar08_tcm3-39040.pdf","Laws for making structural modifications to housing"
"16,576","http://documents.boston.gov/images_documents/huddojstatement_tcm3-39039.pdf","Laws for reasonable accommodations"
"16,581","http://documents.boston.gov/images_documents/huddoc_tcm3-39038.pdf","Fair Housing Act design and construction regulations"
"16,606","http://www.mass.gov/ago/","Attorney General's Office"
"16,611","https://www.gbls.org/","Greater Boston Legal Services"
"16,616","http://www.dlc-ma.org/","Disability Law Center"
"16,631","https://data.cityofboston.gov/Finance/CORI-Vendors-grouped-by-ID/ib6r-rtrb","Looking for work?"
"16,636","http://www.tiptoptwin.com/boston-workers-alliance/","The Boston Work Alliance"
"16,641","http://www.gbls.org/","Greater Boston Legal Services"
"16,646","http://www.bostonstrive.org/","STRIVE Boston"
"16,651","http://www.spaninc.org/","SPAN, Inc."
"16,656","https://drive.google.com/file/d/1cLsW7bvKbjoIQ-O5EoEfcRmDJdASN_Cn/view","Criminal Offense Record Information Policy"
"16,666","https://docs.google.com/a/boston.gov/forms/d/1dxAkwEORCwJ4TVNwPLads3FL6IvfvUrGm2aSQSBRY4U/viewform","Compliance Survey"
"16,676","http://www.mass.gov/eopss/docs/chsb/sample-cori-response.pdf","Sample CORI"
"16,686","http://cwc.cedac.org/Uploads/Files/E2DispositionCodes.pdf","Disposition Codes Key"
"16,826","http://www.cityofboston.gov/Parking/portal.asp","Sign up for parking ticket alerts"
"17,241","https://www.youtube.com/watch?v=bGlcpo09WUA&feature=youtu.be&t=691","Mayor’s Chief of Staff Explains the Data"
"18,256","http://www.cityofboston.gov/fire/inspections/sdiform/firerequest.aspx","Request a paid Fire detail"
"18,486","http://documents.boston.gov/images_documents/New%20Member%20Packet-1_tcm3-44683.pdf","New Member Packet"
"18,491","http://documents.boston.gov/images_documents/direct%20deposit_tcm3-37928.pdf","Direct Deposit Form"
"18,496","http://documents.boston.gov/images_documents/SBRS%20Refund%20Form%20Application_for_Withdrawal%20v0.7_tcm3-9851.pdf","Boston Retirement System Refund Form"
"18,501","http://documents.boston.gov/images_documents/010%20Change%20of%20Address%20(2)_tcm3-9837.pdf","Change of Address Form"
"18,506","http://documents.boston.gov/images_documents/New%20Member%20Enrollment%20Form-V4_tcm3-9852.pdf","New Member Enrollment Form"
"18,511","http://documents.boston.gov/images_documents/011%20Option%20D%20Bene%20Selection%20Form_Online_No%20Barcode_tcm3-9854.pdf","Change of Beneficiary Form/Option D"
"18,516","http://documents.boston.gov/images_documents/011%20Lump%20Sum%20Bene%20Selection%20Form_1.4_tcm3-53555.pdf","Beneficiary Selection Form (Lump Sum)"
"18,521","http://documents.boston.gov/images_documents/MilitaryServiceCredit_v5%20(2)_tcm3-9855.pdf","Application for Military Service Credit"
"18,526","http://documents.boston.gov/images_documents/Service%20Credit%20Purchase%20Application_tcm3-36915.pdf","Public Service Credit Purchase Application"
"18,531","http://documents.boston.gov/fire/pdfs/nioshbeacon.pdf","2014 fatal Beacon Street fire: NIOSH Report"
"18,536","http://documents.boston.gov/fire/pdfs/boi-fire-march16.pdf","2014 fatal Beacon Street fire: Fire Board of Inquiry Report"
"18,541","http://documents.boston.gov/images_documents/RPT%20-%20Fleet%20Counselor%20Services_tcm3-8598.pdf","Fleet Counselor Services Inc. Report"
"18,546","http://documents.boston.gov/images_documents/Final%20Report%20on%20BFD%20Fleet%20Maintenance%20Practices%20Assessment_tcm3-4016.pdf","Fleet Maintenance Assessment Report"
"18,551","http://documents.boston.gov/images_documents/BoardofInquiryReport_Kelley_tcm3-26530.pdf","Board of Inquiry Report: Lieutenant Kevin M. Kelley"
"18,556","http://documents.boston.gov/images_documents/BOI_Report_tcm3-3984.pdf","Board of Inquiry Report: Firefighters Paul Cahill and Warren Payne"
"18,561","http://documents.boston.gov/images_documents/BOSTON%20FIRE%20PREVENTION%20CODE_tcm3-4039.pdf","Boston Fire Prevention code"
"18,566","http://documents.boston.gov/images_documents/Boston%20Fire%20Department%20Summary%20of%20Recommendations%20and%20Best%20Practices_tcm3-21425.pdf","Health And Safety Review: July 2010"
"18,781","http://bpdnews.com/emergency-911/","Police, Fire, Ambulance (for emergencies)"
